Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1913,Cohen Saves the Flag,American,Mack Sennett,"Ford Sterling, Mabel Normand",comedy,https://en.wikipedia.org/wiki/Cohen_Saves_the_Flag,"Cohen (Ford Sterling) and his rival Goldberg (Henry Lehrman) enlist in the Union Army during the American Civil War. Goldberg receives a lieutenantâ€™s commission while Cohen becomes a sergeant. During the Battle of Gettysburg, Cohen inadvertently becomes a hero when he tosses back an enemy hand grenade and raises a fallen flag in the midst of the conflict. Goldberg conspires to have Cohen shot by a firing squad, but Cohenâ€™s girlfriend Rebecca (Mabel Normand) rides to the rescue and details Cohenâ€™s battlefield bravery. Cohen is hailed for his valor and later exacts revenge on Goldberg."
1913,Dr. Jekyll and Mr. Hyde,American,Herbert Brenon and Carl Laemmle,King Baggot,horror,https://en.wikipedia.org/wiki/Dr._Jekyll_and_Mr._Hyde_(1913_film),"Dr. Henry Jekyll (King Baggot) sends a note to his fiancÃ©e, Alice (Jane Gail), and her father (Matt B. Snyder) to say that instead of accompanying them to the opera, he must give more time to his charity patients. At Jekyllâ€™s practice, his friends Dr. Lanyon (Howard Crampton) and Utterson (William Sorrel), a lawyer, ridicule him for what they consider his dangerous research. Alice and her father also visit Jekyllâ€™s rooms, but although apologetic, the doctor insists on devoting his time to his patients. That night, however, Jekyll undertakes a dangerous experiment, swallowing a drug intended to releases his evil self. His body convulses, and he transforms into a hunched, twisted figure.
The strange creature emerges from Jekyllâ€™s room, bearing a note in Jekyllâ€™s handwriting that orders the household staff to treat the stranger â€“ â€œMr Hydeâ€ â€“ as himself. Hyde then slips out into the night, terrorising the patrons of a nearby tavern before finding himself lodgings. From these rooms he begins a career of evil, until one night he attacks and injures a crippled child. Outraged witnesses corner Hyde and force him to agree to compensate the boy. Hyde reluctantly leads one man back to Jekyllâ€™s house and gives him money. During this passage of events, a worried Dr. Utterson sees Hyde entering Jekyllâ€™s house. Inside, Hyde takes a potion that transforms him back to Jekyll.
The doctor swears that he will abandon his experiments and never tempt fate again; but that night, without taking the drug, he turns spontaneously into Hyde."
1913,The Evidence of the Film,American,"Lawrence Marston, Edwin Thanhouser","William Garwood, Marie Eline",crime,https://en.wikipedia.org/wiki/The_Evidence_of_the_Film,"The Evidence of the Film tells the story of a messenger boy at a film studio who is wrongfully accused of stealing bonds worth $20,000. He is saved by his sister, a film cutter, who comes across some footage of her brother inadvertently walking into a location shot and being knocked down by the real-life villain."
1913,The Face at the Window,American,Unknown,"Earle Foxe, Irene Boyle, Stuart Holmes",drama,https://en.wikipedia.org/wiki/The_Face_at_the_Window_(1913_film),"As described in a 1913 blurb: ""The foreman of the sawmill misconstrues the disappearance of his ward who has taken drastic measures to protect her guardian's interests. A startling incident reveals the girl's motive.""[2]"
1913,The Quakeress,American,Raymond B. West,Louise Glaum,drama,https://en.wikipedia.org/wiki/The_Quakeress,"The setting is an early American village, where a young Quaker woman, Priscilla (played by Glaum), is in love with the schoolmaster, John Hart (played by Ray). The local minister, Rev. Cole (played by Taylor), who calls on her at her cabin with flowers, is an unwelcome suitor. In revenge, he has ""blue laws"" passed, among them is one requiring attendance at church on Sunday.
Priscilla refuses to comply with the law and is arrested. After being plunged in and out of water and pilloried, she is banished from the colony. John goes with her. They are attacked by Indians and John is badly wounded. Priscilla manages to get back to the village in time to warn the Puritans of an impending attack. They defeat the Indians after a desperate battle.
The Rev. Cole, who has been mortally wounded, begs Priscilla's forgiveness and the Puritans make amends for their harsh treatment of her.[1]"
1913,The Restless Spirit,American,Allan Dwan,"J. Warren Kerrigan, Pauline Bush",drama,https://en.wikipedia.org/wiki/The_Restless_Spirit,"The film begins with the Dreamer, a restless and disappointed dreamer who has a wife and child. He gazes at his hands and dreams of becoming a conqueror, but laments that no chance comes to him and continues to dream. The Dreamer becomes the subject of ridicule and his wife becomes the subject of pity by the community. The Dreamer decides enter the world of men and abandons his wife leaving her to seek refuge in her father. Her father wishes for her to marry a wealthy gentleman who is also a stranger in the town. The Dreamer heads into the desert and wanders until exhaustion takes its toll. A woman, ""The Desert Flower"", finds him and takes him to her hut in the desert. There the woman spends her time looking over the garments of the man who courted her, the same stranger now attempting to marry the Dreamer's wife. The woman learns of the Dreamer's story and shows the dreamer the futility of conquering worlds unknown when he cannot conquer his own small corner of the world.[1] The Dreamer sees himself in the roles of great conquerors, but each vision ends with death. The Dreamer's wife has been kicked out for refusing to marry the stranger, and is reunited with the Dreamer on the edge of the desert. The stranger is sent out into the desert and the Dreamer and his wife return to the town. In time, the Dreamer becomes respected by the community.[2]"
1913,The Telephone Girl and the Lady,American,D.W. Griffith,"Mae Marsh, Claire McDowell",drama,https://en.wikipedia.org/wiki/The_Telephone_Girl_and_the_Lady,"A telephone operator is walking out with a handsome police sergeant; her father insists that the husband for her is a plump, comfortable grocery store owner. The Lady picks up her jewels from the jewellery and brings them home, followed by a jewel thief on a stolen bicycle. She puts them in her safe, and goes to give the telephone girl a present of a necklace in thanks for her work. As the Lady answers the telephone and accepts the Telephone Girl's effusive thanks, the door creaks open â€“ it is the masked thief! She tells the girl on the other end of the line that she's being robbed. While the thief grills the lady, the telephone girl calls the police, but there's a riot and calls about that prevent her getting through. She runs out of the exchange and spots the sergeant conveniently riding by. He lifts her onto his horse and they gallop to the rescue. Meanwhile, with an implicit rape threat the thief has forced the lady to reveal the safe concealed behind a picture. Just in time, the sergeant bursts in as the thief escapes with the jewels. After a rousing fight, helped by the feisty telephone girl and neighbours including a lady in a huge hat, the sergeant drags away the thief. The lady rewards the sergeant and the lovers fall into each other's arms."
1914,The Avenging Conscience,American,D. W. Griffith,"Henry B. Walthall, Blanche Sweet","drama, horror",https://en.wikipedia.org/wiki/The_Avenging_Conscience,"A young man (Henry B. Walthall) falls in love with a beautiful woman (Blanche Sweet), but is prevented by his uncle (Spottiswoode Aitken) from pursuing her. Tormented by visions of death and suffering and deciding that murder is the way of things, the young man kills his uncle and builds a wall to hide the body.
The young man's torment continues, this time caused by guilt over murdering his uncle, and he becomes sensitive to slight noises, like the tapping of a shoe or the crying of a bird. The ghost of his uncle begins appearing to him and, as he gradually loses his grip on reality, the police figure out what he has done and chase him down. In the ending sequence, we learn that the experience was all a dream and that his uncle is really alive."
1914,The Battle of the Sexes,American,D.W. Griffith,"Donald Crisp, Lilian Gish",drama,https://en.wikipedia.org/wiki/The_Battle_of_the_Sexes_(1914_film),"Frank Andrews (Donald Crisp) is a well-to-do, middle class apartment dweller who is devoted to his wife (Mary Alden) and two children, John (Robert Harron) and Jane (Lillian Gish). Andrews enters into a mid-life crisis when a fetching young lady, Cleo (Fay Tincher), moves into the apartment next door to the Andrews'. Cleo takes note of Andrews' interest in her and begins to flirt with him, going so far as to set a fire in her apartment in order to attract his aid. Before long, Andrews and Cleo are involved in an affair, and Andrews begins to neglect both his family and responsibilities at work. Humiliated and aghast at her mother's silent suffering over the situation, Jane goes next door with the idea of killing Cleo, but instead they strike up a conversation, and a mutual understanding. They hatch a plan whereby one of Cleo's former beaus (Owen Moore) appears to be courting Jane in front of Andrews, who swiftly condemns his daughter's interest in the man. Jane counters by pointing out Andrews' own poor moral choices, and he sees the error of his ways. Andrews is happily reconciled to his family, and Cleo sets out in search of new digs."
1914,Between Showers,American,Henry Lehrman,"Charlie Chaplin, Ford Sterling, Chester Conklin",unknown,https://en.wikipedia.org/wiki/Between_Showers,"Chaplin and Sterling play two young men, Masher and Rival Masher, who fight over the chance to help a young woman (Clifton) cross a muddy street. Sterling first sees the woman trying to cross and offers her an umbrella he stole from a policeman. He asks her to wait for him as he goes to get something to help her. Chaplin comes along and offers the woman to help her cross the street as well and wait for his return. While Sterling and Chaplin go to get logs, a policeman (Conklin) lifts the woman across the street. When Sterling returns with the log, he is indignant that the woman did not wait for him to come back to help her cross the muddy street and demands the umbrella back. When the woman refuses, they engage in a fight which eventually involves Chaplin."
1914,Brewster's Millions,American,"Oscar Apfel, Cecil B. DeMille","Edward Abeles, Sydney Deane, Joseph Singleton",comedy,https://en.wikipedia.org/wiki/Brewster%27s_Millions_(1914_film),"Wealthy Edwin Peter Brewster disowns his son Robert when he marries Louise Sedgwick, a woman of modest means. Many years later, when Robert dies, however, E.P. Brewster leaves one million dollars to their son Monty, a bank clerk. Shortly thereafter, Monty learns that he has inherited seven million dollars from his Uncle George on the stipulation that Monty divest himself of his grandfather's fortune within a year, without revealing why. A further stipulation is that the money must be used only for personal expenditures. Monty spends lavishly, invests in stock and makes a bet on a prize fight, but the bet and the stocks pay off. In desperation he rents and repairs a yacht to sail around the world. At one port, Monty saves Peggy Gray, his childhood sweetheart, from abduction by an Arab sheik. On the eve of gaining possession of the money, Monty proposes to Peggy, who eagerly accepts, thinking that Monty is a pauper. Then a cable informs Monty that Swearengen Jones, his uncle's executor, has absconded with the fortune. Unperturbed, Peggy and Monty marry but then are presented with the inheritance as a wedding present by Jones, who turns out to be a practical joker."
1914,A Busy Day,American,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Phyllis Allen",comedy,https://en.wikipedia.org/wiki/A_Busy_Day,"In A Busy Day, a wife (played by an energetic Charlie Chaplin) becomes jealous of her husband's interest in another woman during a military parade. On her way to attack the couple, the wife interrupts the set of a film, knocking over a film director and a police officer. Finally, the husband pushes the wife off a pier and she falls into the harbor."
1914,The Call of the North,American,"Oscar Apfel, Cecil B. DeMille","Robert Edeson, Theodore Roberts",adventure,https://en.wikipedia.org/wiki/The_Call_of_the_North_(1914_film),"Graehme, Ned Stewart's father was accused of adultery and killed being innocent. Ned decided to avenge his father, but got captured and sent to the long journey to death ""la longue traverse"". Fortunately Virginia saves his life and the story's villain confesses Ned's innocence."
1914,Captain Alvarez,American,Rollin S. Sturgeon,"Edith Storey, William Desmond Taylor, George Holt",historical drama,https://en.wikipedia.org/wiki/Captain_Alvarez,"A melodrama about an American who becomes a revolutionary leader battling evil government spies in Argentina. William Desmond Taylor portrays the title role, and Denis Gage Deane-Tanner, Taylor's younger brother, is thought to have played the small role of a blacksmith."
1914,Caught in a Cabaret,American,Mabel Normand,"Charlie Chaplin, Mabel Normand, Edgar Kennedy",comedy,https://en.wikipedia.org/wiki/Caught_in_a_Cabaret,Chaplin plays a waiter who fakes being a Greek Ambassador to impress a girl. He then is invited to a garden party where he gets in trouble with the girl's jealous boyfriend. Mabel Normand wrote and directed comedies before Chaplin and mentored her young co-star.
1914,Caught in the Rain,American,Charlie Chaplin,"Charlie Chaplin, Mack Swain, Alice Davenport",comedy,https://en.wikipedia.org/wiki/Caught_in_the_Rain,"The action starts in a park, where a man is trying to romance a matronly woman, wearing a fur stole.
The man leaves to go to a concession stall, St Rucopias, and Charlie comes along in his infamous tramp costume. He makes the woman laugh by almost soaking himself at the drinking fountain. He then sits next to her on the bench. The original man returns and is angry. He grabs Charlie by the face. He argues with the woman, waving his arms around and hitting Charlie with each movement. His last swing knocks Charlie clean over the bench. They leave and return to a hotel.
Charlie is despondent. He leaves the park and staggers, now apparently drunk, over a wide road, almost getting hit by a car. He arrives at the same hotel and after propositioning a girl outside, enters, falling over a man's gout-bound leg at the reception desk. He checks the register to see which room the couple are in, who are meanwhile getting drunk themselves. Rushing up the stairs he slips, and slides comically back to the foot on his stomach. He makes several more dangerously balanced comical attempts, hitting the gout-bound man and his two female friends in the process.
He approaches the hotel room, where the original couple are arguing. His key doesn't fit but the door is open and he enters, at first not seeing the couple due to his drunken state. The man boots him out. Charlie tries another room with his key and gets in. He starts to undress and goes to bed.
Meanwhile the man across the hall leaves his wife to go out. We are told she is a sleepwalker. She crosses the hall to sit on Charlie's bed. However the rain starts and the husband returns to the hotel to find his room empty. Charlie, now awake meets him at his door and claims not to know where his wife is. While the man goes down to reception, Charlie takes her back to her room but gets trapped when the man returns. He ends up on the balcony in the rain. But then a policeman spots him and challenges him, drawing a gun. Enter the Keystone Cops. A comic battle ensues in the hallway. The husband ends up in Charlie's room and collapses drunk on the bed. The cops disappear. The wife comes into the hall and she and Charlie fall down drunk on the floor."
1914,Cinderella,American,James Kirkwood,"Mary Pickford, Owen Moore, Isobel Vernon",fantasy drama,https://en.wikipedia.org/wiki/Cinderella_(1914_film),"Cinderella is a kind young woman who lives with her wicked stepmother and ugly stepsisters. They abuse her and use her as the house maid. Cinderella thinks she's all alone in the world, but doesn't know a fairy godmother is constantly helping her. One day, she is collecting wood from the forest and meets Prince Charming. They immediately fall in love with each other, but lose contact. Soon, a ball is arranged by the prince to look for his future wife. The stepsisters think they make a great chance in being chosen by the prince. Cinderella wants to go as well, but isn't allowed to by her cruel family.
The sisters go to a fortune teller, who announces a member of the family will be chosen by the prince. The sisters are delighted and think it will be one of the two of them. When they leave for the ball, Cinderella is left behind. The fairy godmother appears and asks if she wants to go to the ball as well. When Cinderella responds positively, the fairy godmother orders her to bring her the biggest pumpkin she can find. Cinderella does so and the fairy godmother changes it into a luxurious stage coach. She next asks for the smallest mice she can find. Cinderella brings her some mice from the house and the fairy godmother changes them into horses.
The fairy godmother next orders her to bring her the biggest rats there are. After Cinderella collected them, the fairy godmother changes them into servants. She finally changes Cinderella's poor maiden costume into a dress fit for a princess, and glass slippers, of course. She reminds Cinderella she will have to be back at home before the clock strikes midnight. Otherwise, her fine dress will turn into rags and the coach and servants will become what they were before.
As Cinderella arrives at the party, Prince Charming is already busy looking for his future wife. It is soon announced an unknown lady has arrived in a coach. Prince Charming immediately chooses her and they go to a private place where they learn to know each other. As they flirt, Cinderella notices it is almost twelve o'clock and storms out. She loses her glass slipper, before she turns into her old poor self again.
The next day, the royal heralds announce the Prince's wish to marry the woman whose foot fits the lost glass slipper. The sisters go to the palace to try fit their feet into the slippers, while Cinderella is yet again forced to stay home. It becomes clear the royal heralds every woman of the town has tried but failed to wear the slippers, except for Cinderella. Prince Charming immediately goes to visit her and is shocked when he finds out she is a poor maid. He doesn't turn his back against her, though, and he invites her to try on the slipper. When she does, she is announced as the future princess. The royal heralds give her the opportunity to behead her sisters, but she refuses to.
In the final scene, the fairy godmother appears and blesses her. Cinderella and Prince Charming live happily ever after."
1914,"Cruel, Cruel Love",American,George Nichols and Mack Sennett,"Charlie Chaplin, Edgar Kennedy, Minta Durfee",comedy,"https://en.wikipedia.org/wiki/Cruel,_Cruel_Love","Chaplin plays a character quite different from the Little Tramp for which he would become famous. In this short Keystone film, Chaplin is instead a rich, upper-class gentleman (Lord Helpus) whose romance is endangered when his girlfriend (played by Minta Durfee) sees him being embraced by her maid and jumps to the wrong conclusion. She angrily sends Lord Helpus away, saying she never wants to see him again. Distraught, when Lord Helpus arrives home he is determined to end his life. He swallows what he thinks is a glass of poison and envisions himself being tortured in Hell. Not long afterward, the girlfriend's gardener and maid explain to Minta that Lord Helpus was not flirting at all. Minta quickly sends a note of apology to Lord Helpus. upon reading it, Lord Helpus flies into a panic and summons an ambulance to help him before he dies from the fatal dose of poison. There is no danger of Lord Helpus expiring: His butler had stealthily switched the liquid in the glass to harmless water.
Chaplin's romantic interest in this film, Minta Durfee, was the wife of fellow Keystone actor Roscoe ""Fatty"" Arbuckle."
1914,Dough and Dynamite,American,Charlie Chaplin,"Charlie Chaplin, Chester Conklin, Fritz Schade",comedy,https://en.wikipedia.org/wiki/Dough_and_Dynamite,"The story involves Chaplin and Chester Conklin working as waiters at a restaurant. Charlie is especially inept and his comic carelessness enrages the customers. The workers in the restaurant's bakery go on strike for more pay, but are fired by the unsympathetic proprietor. Charlie is put to work in the bakery where his lack of skills upsets his boss and co-worker Chester Conklin. Meanwhile, the vengeful strikers have arranged to smuggle a loaf of bread concealing a stick of dynamite into the bakery. During a free-for-all involving Charlie, Chester, and their boss, the dynamite dramatically explodes. At the end of the film, Charlie emerges groggily from a pile of sticky dough."
1914,The Escape,American,D. W. Griffith,"Donald Crisp, Blanche Sweet, Mae Marsh",drama,https://en.wikipedia.org/wiki/The_Escape_(1914_film),"The film begins with a short prologue explaining the science of Eugenics; contrasting the careful selection observed in the animal world with the less predictable breeding habits of humans. This is illustrated by the story of the Joyce family, headed by Jim Joyce (Turner), a cruel and senseless man. Joyce's son Larry (Harron) is by nature a sensitive kid, but Jim Joyce turns him into a heartless monster, strangling a cat as a sort of coming of age ritual.
Larry Joyce contracts a case of syphilis, and seeks out treatment from Doctor Von Eiden (Moore), who also takes a keen interest in Larry's sister May (Sweet). Von Eiden encourages May to make a break with her family, and she succeeds. However she is unable to find employment and enters into a relationship with a wealthy senator (Lewis) as a kept woman. While May will not marry the Senator, her sister Jennie (Marsh) does marry a man named ""Bull"" McGee (Crisp), an abusive lout just like her father.
Their infant child is killed when McGee trips over its cradle in a drunken stupor, and Jennie becomes delusional, endlessly rocking the cradle with a doll inside. McGee is repulsed by her condition and puts Jennie away quietly through selling her into prostitution. May manages to wrest Jennie away from this peril, but Jennie expires soon after. Von Eiden, however, has managed to restore Larry's original sensitivity through a surgical procedure; May has broken off the relationship with the Senator and agrees to marry Von Eiden."
1914,A Film Johnnie,American,George Nichols,"Charlie Chaplin, Fatty Arbuckle, Mabel Normand",unknown,https://en.wikipedia.org/wiki/A_Film_Johnnie,"Charlie goes to the movies and falls in love with a girl on the screen. He goes to Keystone Studios to find her. He disrupts the shooting of a film, and a fire breaks out. Charlie is blamed, gets squirted with a firehose, and is shoved by the female star.
The title of the film is a variation on the term ""stage door johnnie"". It was once commonly used to describe someone who regularly loitered near the actors' entrances of theaters hoping to meet the players or perhaps land a job onstage or backstage."
1914,A Florida Enchantment,American,Sydney Drew,"Sydney Drew, Edith Storey",unknown,https://en.wikipedia.org/wiki/A_Florida_Enchantment,"In the film, Lillian Travers, a wealthy Northern woman about to be married, takes a magical seed which transforms its user into the opposite gender. Lillian's transformation into Lawrence Talbot has also sometimes been read as a transformation into a butch lesbian. This reading is bolstered by the later transformation of Lillian's fiancÃ© into what could be an effemininate gay man. However, as Lillian and her fiancÃ© are shown attracted both to each other and to the same sex (albeit at different times), the film has also been considered to have the first documented appearance of bisexual characters in an American motion picture.[1]"
1914,Gentlemen of Nerve,American,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Chester Conklin",comedy,https://en.wikipedia.org/wiki/Gentlemen_of_Nerve,"Mabel and her beau go to an auto race and are joined by Charlie and his friend. As Charlie's friend is attempting to enter the raceway through a hole, the friend gets stuck and a policeman shows up."
1914,Getting Acquainted,American,Charlie Chaplin,"Charlie Chaplin, Mabel Normand, Phyllis Allen",comedy,https://en.wikipedia.org/wiki/Getting_Acquainted,"In one of Chaplin's ""park comedies"" for Keystone Studios, Charlie and his domineering wife, Mrs. Sniffles, are walking in the greensward. When Mrs. Sniffles falls asleep on a park bench, Charlie takes the opportunity to walk away from her. He encounters pretty Mabel. At the moment, Mabel's husband, Ambrose, is occupied trying to help a stranger start his car. Charlie attempts to woo Mabel but is quickly rebuffed and a park policeman comes to her aid. Meanwhile Ambrose encounters Charlie's wife and is attracted to her. He too is rebuffed. Ambrose and Charlie both run afoul of a pretty blonde woman and her fez-wearing escort. A park policeman pursues both Charlie and Ambrose for their unwanted attentions directed at strange women. Charlie is eventually caught by the policeman who brings him back to Mrs. Sniffles. She saves him from arrest but roughly begins to escort him home.
Released on December 5, 1914, Getting Acquainted was the next-to-last movie that Chaplin made for Keystone Studios. It marked the final time he appeared in the same film as Mabel Normand."
1914,His Father's Rifle,American,Edward LeSaint,"Earle Foxe, Bertram Grassby",drama,https://en.wikipedia.org/wiki/His_Father%27s_Rifle,"James Birch, an English hunter, is accidentally shot by the servant of Kirke Warren, a wild animal painter who is camping in the jungle. The terrified servant leaves the rifle, which is marked with his master's initials beside the body of the man. Later Warren meets Mrs. Birch, the widow of the unfortunate hunter and is invited to a house party given by her. Here he finds the rifle, which she has kept in hopes of some time discovering the identity of her husband's supposed murderer. Thinking that Warren is the man, she plans vengeance by sending him hunting with the rifle equipped with cartridges a size too large. As a result of these cartridges jamming when Warren is attacked by a lion, he is nearly killed by this ferocious beast. In the meantime, Mrs. Birch becoming conscience stricken, sets out to find the hunting party in order to prevent the catastrophe which she had planned. After losing her way and falling in with a band of hostile Zulus, she is rescued through the efforts of Warren, who though wounded, leads the searching party. While Warren is being nursed back to life, the servant confesses the truth about the shooting. Mr. Warren and Mrs. Birch discover that she and Warren have grown to love one another."
1914,"His Majesty, the Scarecrow of Oz",American,J. Farrell MacDonald,"Violet MacMillan, Pierre Couderc",unknown,"https://en.wikipedia.org/wiki/His_Majesty,_the_Scarecrow_of_Oz","King Krewl (Raymond Russell) is a cruel dictator in the Emerald City in the Land of Oz. He wishes to marry his daughter, Princess Gloria (Vivian Reed), to an old courtier named Googly-Goo (Arthur Smollett), but she is in love with Pon, the Gardener's boy (Todd Wright). Krewl employs the Wicked Witch named Mombi (Mai Wells), to freeze the heart of Gloria so she will not love Pon any longer. This she does by pulling out her heart (which looks somewhere between a valentine and a bland representation of a heart without any vessels) and coating it with ice. Meanwhile, a lost little girl from Kansas named Dorothy Gale (Violet MacMillan), is captured by Mombi and imprisoned in her castle. However, Dorothy runs away with the now heartless Gloria, accompanied by Pon and eventually meet the Scarecrow (Frank Moore). Mombi catches up with the travelers and removes the Scarecrow's stuffing, but Dorothy and Pon are able to re-stuff him; Gloria abandons them and wanders off.
They meet the lost little boy, Button-Bright (Mildred Harris). The party travels to the Winkie Country next and arrives at the Tin Castle of the Tin Woodman (Pierre Couderc), who has rusted solid. (The Tin Woodman resides in a Tin Castle in later Oz novels, beginning in The Emerald City of Oz'' (1910). Mombi reaches the Tin Castle, and the Tin Woodman chops off her head; however, this merely slows her down as she hunts for it and places it back on. (The Wicked Witch of the East in The Tin Woodman of Oz is later described as having done a similar thing to him when he was still human.) Having replaced her head, Mombi encounters Pon and turns him into a kangaroo.
Dorothy, Button-Bright, the Scarecrow and the Tin Woodman escape from Mombi by crossing a river on a raft. As in the original novel The Wonderful Wizard of Oz (1900), the Scarecrow's barge-pole gets stuck in the river bed and leaves him stranded, until he is rescued by a bird. At one point in this sequence, the Scarecrow slides down the pole into the river, resulting a brief ""underwater"" sequence featuring puppet fish and a mermaid; throughout, the Scarecrow makes asides to the camera, mostly without intertitles. (At another point, the frozen Gloria even makes a malevolent stare directly into the camera.)
The party encounters the Wizard (J. Charles Haydon), who tricks Mombi by letting the group hide in the Red Wagon, pulled by the sawhorse; when Mombi attempts to follow them, the group escape out the back of the wagon. The four companions meet the Cowardly Lion, who joins them. The Wizard traps Mombi in a container of ""Preserved Sandwitches"" and paints out the ""sand"" and the plural, carrying her away in his pocket. The Scarecrow, taking a barrage of arrows, tosses Krewl's soldiers over the battlements to deal with the Cowardly Lion, who cannot climb the rope ladder over the city wall. With the support of the people, the Scarecrow is easily able to depose King Krewl. The Wizard releases Mombi, and compels her to restore Pon to his normal form and unfreeze Gloria's heart."
1914,Charlie Chaplin,American,"Charlie Chaplin, Mabel Normand",Comedy,unknown,https://en.wikipedia.org/wiki/His_Trysting_Place,"Charlie and his friend Ambrose meet in a restaurant and accidentally leave with each other's coats. Charlie was going to pick up a baby bottle and Ambrose was going to mail a love letter that was in his coat pocket. Charlie's wife finds the letter and thinks he has a secret lover and Ambrose's wife believes he has an illegitimate child. Controversy arises in the park between Charlie and his wife and Ambrose and his wife. It is resolved at the end, but Charlie sparks another fight between the other couple by showing his friend's wife the love letter that was in his pocket."
1914,"Home, Sweet Home",American,D. W. Griffith,"Earle Foxe, Henry B. Walthall, Dorothy Gish",biographical drama,"https://en.wikipedia.org/wiki/Home,_Sweet_Home_(1914_film)","John Howard Payne leaves home and begins a career in the theater. Despite encouragement from his mother and girlfriend, Payne begins to lead a dissolute life that leads to ruin and depression. In deep despair, he thinks of better days, and writes a song, Home! Sweet Home! that later provides inspiration to several others in their own times of need."
1914,Imar the Servitor,American,Unknown,William Garwood,unknown,https://en.wikipedia.org/wiki/Imar_the_Servitor,"Imar the Servitor rescues an American tourist who has lost his way in the desert and the two men become friends. Before he leaves, the American gives his friend a picture of his fiancÃ©e. When the tourist returns home, he discovers that his girlfriend has married a horseman, both of whom have journeyed to the Arabian desert. Imar's master attacks the trader's wife. Her husband then accuses her of infidelity and starts to beat her. Imar recognizes her from the picture given to him by his American friend and rescues her. They both traverse the desert and meet her former fiancÃ©, who has been sent for. Her husband and Imar's master are slain, leaving the three friends free of any retribution.[1]"
1914,In the Land of the Head Hunters,American,Edward S. Curtis,,documentary drama,https://en.wikipedia.org/wiki/In_the_Land_of_the_Head_Hunters,The following plot synopsis was published in conjunction with a 1915 showing of the film at Carnegie Hall:
1914,The Knockout,American,Charles Avery,"Charlie Chaplin, Fatty Arbuckle, Edgar Kennedy",comedy,https://en.wikipedia.org/wiki/The_Knockout,"Pug, a down-and-out hobo, is talked into pretending he is Cyclone Flynn, the boxing champion, and entering the ring for a fight. When the real Cyclone shows up, Pug ends up having to trade punches with him instead."
1914,Laughing Gas,American,Charlie Chaplin,"Charlie Chaplin, Fritz Schade",comedy,https://en.wikipedia.org/wiki/Laughing_Gas_(1914_film),"We are told Charlie is a dental assistant. He arrives at work where the patients are already waiting. He joins the tiny second dental assistant in the back room. They have a brief squabble then Charlie goes to the waiting room to clean the floor with a carpet sweeper. He bumps into a patient and a further squabble starts. Then back to the rear room for more squabbling.
The dentist arrives, and his first patient goes in, obviously in pain. The dentist prepares the nitrous oxide anaesthesic (also known commonly as ""laughing gas"" due to its effects prior to and after unconsciousness). With the man unconscious he pulls his tooth, but then he can't get him to wake up. He calls for Charlie and when he arrives the dentist runs off. Charlie tries to wake him and eventually tries hitting his head with a mallet. The man revives but starts laughing. Charlie knocks him out with the mallet.
The dentist then returns and Charlie is sent to the drug store to get a prescription. After more fighting with the patients he goes from Dr Pain's surgery to the Sunset Pharmacy. He strikes a man standing at a news-stand outside. He looks at a woman (the dentist's wife) and Charlie kicks him in the stomach before chasing the woman himself, and an incident occurs where she loses her skirt and runs off in embarrassment. He continues fighting with the man, who receives a brick in the face, thus becoming another dental patient. A second brick hits a passer-by equally losing him a tooth.
Meanwhile, the dentist gets a phone call from his maid to say his wife has had an ""accident"" and he goes home. Charlie returns to find the surgery empty. He picks the prettier of the two female patients in the waiting room. The other lady leaves, leaving them alone. Charlie flirts with her and looks very closely into her mouth, stealing kisses. Meanwhile, the two men struck by bricks arrive. The girl leaves. The tall passerby goes in next. Charlie uses a huge pair of pliers to remove another tooth. With all the noise the news-stand victim enters and a final fight ensues."
1914,Mabel at the Wheel,American,"Mabel Normand, Mack Sennett","Charlie Chaplin, Mabel Normand",comedy,https://en.wikipedia.org/wiki/Mabel_at_the_Wheel,"Charlie offers Mabel a ride on his two-seater motorcycle, which she accepts in preference to his rival's racing car. Unfortunately as they go over a bump, she falls off into a puddle. The rival, who has followed in his car, picks up the now stranded Mabel. He lets her drive, sitting tight beside her.
Charlie at last notices she is gone and falls off the bike. He sees them together now stopped and standing beside the car. They leave the car for a short while and Charlie lets down the rear tyre. His rival returns and is furious. They throw rocks at Charlie and he throws them back. The rival's friend appears and gets caught up in the rock-throwing confusion.
We cut to ""The Auto Race"" where Charlie hovers round the cars. The drivers usher him away when they see he has a sharp pin. Charlie stands puffing heavily on a cigarette. He uses his pin to get through the crowd, where he propositions Mabel and gets slapped. Charlie then whistles and two thugs appear and kidnap his rival just before the race starts. But Mabel decides to don his racing clothes and take the wheel in his place.
As the race progresses, despite a very late start, Mabel, with a co-driver beside her, manages to gain a lead of three laps. Charlie with his henchmen, tries to sabotage the race by using oil and bombs on the track. The oil temporarily spins Mabel's car, no.4, around and it goes backwards for a lap until the oil spins it around again to continue the right way. The car tips over on a bend but a group of men push the heavy Bentley V8 upright again. Meanwhile the rival escapes his ropes and sees Mabel driving his car. The crowd stand as she crosses the finishing line. The rival and his friend go to congratulate her. Meanwhile Charlie throws a bomb in the air and blows up both himself and his two thugs."
